depth,ice_age,gas_age,CO2,Temperature (calculated)
m,ka,ka,ppmv,(deg C)
1650,120.09,117.32,271.68,-56.98333333
1660,120.85,118.15,274.51,-56.80166667
1670,121.61,118.97,277.86,-56.85
1680,122.36,119.78,278.75,-56.695
1690,123.1,120.57,275.28,-55.81833333
1700,123.83,121.36,271.81,-55.97166667
1710,124.54,122.12,269.32,-54.93333333
1720,125.25,122.87,266.93,-55.26166667
1730,125.95,123.61,265.96,-56.04833333
1740,126.65,124.33,268.01,-55.38833333
1750,127.34,125.04,270.06,-54.61833333
1760,128.04,125.76,272.11,-54.925
1770,128.74,126.48,274.16,-54.67833333
1780,129.44,127.19,273.23,-55.01166667
1790,130.15,127.9,270.22,-54.72166667
1800,130.86,128.61,267.22,-53.84333333
1810,131.57,129.33,269.27,-53.09
1820,132.29,130.05,272.92,-53.35833333
1830,133.01,130.78,273.44,-52.33
1840,133.74,131.51,269.81,-53.585
1850,134.47,132.24,266.18,-55.64833333
1860,135.24,132.99,277.41,-53.90666667
1870,136,133.73,289.42,-55.035
1880,136.8,134.48,291.71,-55.94333333
1890,137.64,135.25,280.02,-57.925
1900,138.49,136.02,268.34,-58.29
1910,139.43,136.86,260,-59.50666667
1920,140.4,137.72,252.5,-61.11333333
1930,141.39,138.61,245,-62.845
1940,142.49,139.58,237.51,-63.30666667
1950,143.61,140.57,230.31,-63.055
1960,144.89,141.68,225.05,-64.95
1970,146.18,142.78,219.79,-64.89833333
1980,147.58,143.98,211.62,-63.915
1990,149.11,145.29,200.16,-64.16666667
2000,150.67,146.65,191.69,-63.91833333
2010,152.35,148.23,195.12,-64.78833333
2020,154.02,149.8,198.55,-63.96666667
2030,155.7,151.45,198.89,-64.67833333
2040,157.38,153.18,195.15,-64.18
2050,159.05,154.92,191.41,-64.92333333
2060,160.73,156.65,192.8,-64.20833333
